ProductID,TransactionType,TransactionID,ReferenceOrderID,ReferenceOrderLineID,TransactionDate,Quantity,ActualCost,ModifiedDate
507,P,154785,1585,1,2014-01-01 00:00:00,550,22.1655,2014-01-01 00:00:00
508,P,154786,1585,2,2014-01-01 00:00:00,550,29.2845,2014-01-01 00:00:00
491,P,154787,1586,1,2014-01-01 00:00:00,3,19.9815,2014-01-01 00:00:00
346,P,154788,1587,1,2014-01-01 00:00:00,3,41.244,2014-01-01 00:00:00
347,P,154789,1587,2,2014-01-01 00:00:00,3,36.9705,2014-01-01 00:00:00
348,P,154790,1587,3,2014-01-01 00:00:00,3,34.8705,2014-01-01 00:00:00
349,P,154791,1587,4,2014-01-01 00:00:00,3,39.144,2014-01-01 00:00:00
935,P,154792,1588,1,2014-01-01 00:00:00,550,31.4895,2014-01-01 00:00:00
936,P,154793,1588,2,2014-01-01 00:00:00,550,48.2895,2014-01-01 00:00:00
389,P,154794,1589,1,2014-01-01 00:00:00,3,43.344,2014-01-01 00:00:00
390,P,154795,1589,2,2014-01-01 00:00:00,3,39.0705,2014-01-01 00:00:00
391,P,154796,1589,3,2014-01-01 00:00:00,3,36.9705,2014-01-01 00:00:00
392,P,154797,1589,4,2014-01-01 00:00:00,3,41.244,2014-01-01 00:00:00
393,P,154798,1589,5,2014-01-01 00:00:00,3,36.9705,2014-01-01 00:00:00
487,P,154799,1590,1,2014-01-01 00:00:00,550,5.8065,2014-01-01 00:00:00
488,P,154800,1590,2,2014-01-01 00:00:00,550,8.862,2014-01-01 00:00:00
489,P,154801,1590,3,2014-01-01 00:00:00,550,10.4685,2014-01-01 00:00:00
402,P,154802,1591,1,2014-01-01 00:00:00,3,47.4705,2014-01-01 00:00:00
510,P,154803,1592,1,2014-01-01 00:00:00,550,23.079,2014-01-01 00:00:00
511,P,154804,1592,2,2014-01-01 00:00:00,550,29.274,2014-01-01 00:00:00
405,P,154805,1593,1,2014-01-01 00:00:00,3,45.3705,2014-01-01 00:00:00
406,P,154806,1593,2,2014-01-01 00:00:00,3,43.2705,2014-01-01 00:00:00
407,P,154807,1593,3,2014-01-01 00:00:00,3,47.544,2014-01-01 00:00:00
525,P,154808,1594,1,2014-01-01 00:00:00,550,2.3205,2014-01-01 00:00:00
526,P,154809,1595,1,2014-01-01 00:00:00,550,3.6435,2014-01-01 00:00:00
908,P,154810,1596,1,2014-01-01 00:00:00,550,21.0945,2014-01-01 00:00:00
909,P,154811,1596,2,2014-01-01 00:00:00,550,30.4395,2014-01-01 00:00:00
913,P,154812,1596,3,2014-01-01 00:00:00,550,40.9395,2014-01-01 00:00:00
356,P,154813,1597,1,2014-01-01 00:00:00,60,3.6015,2014-01-01 00:00:00
357,P,154814,1597,2,2014-01-01 00:00:00,60,3.9795,2014-01-01 00:00:00
935,P,154815,1598,1,2014-01-01 00:00:00,550,31.4895,2014-01-01 00:00:00
936,P,154816,1598,2,2014-01-01 00:00:00,550,48.2895,2014-01-01 00:00:00
524,P,154817,1599,1,2014-01-01 00:00:00,550,12.9675,2014-01-01 00:00:00
911,P,154818,1600,1,2014-01-01 00:00:00,550,21.0945,2014-01-01 00:00:00
912,P,154819,1600,2,2014-01-01 00:00:00,550,30.4395,2014-01-01 00:00:00
780,W,154820,56503,0,2014-01-01 00:00:00,2,0,2014-01-01 00:00:00
782,W,154821,56504,0,2014-01-01 00:00:00,2,0,2014-01-01 00:00:00
783,W,154822,56505,0,2014-01-01 00:00:00,2,0,2014-01-01 00:00:00
784,W,154823,56506,0,2014-01-01 00:00:00,2,0,2014-01-01 00:00:00
801,W,154824,56507,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
954,W,154825,56508,0,2014-01-01 00:00:00,2,0,2014-01-01 00:00:00
956,W,154826,56509,0,2014-01-01 00:00:00,2,0,2014-01-01 00:00:00
958,W,154827,56510,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
963,W,154828,56511,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
967,W,154829,56512,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
969,W,154830,56513,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
972,W,154831,56514,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
974,W,154832,56515,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
982,W,154833,56516,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
997,W,154834,56517,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
998,W,154835,56518,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
999,W,154836,56519,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
514,W,154837,56520,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
516,W,154838,56521,0,2014-01-01 00:00:00,8,0,2014-01-01 00:00:00
517,W,154839,56522,0,2014-01-01 00:00:00,3,0,2014-01-01 00:00:00
518,W,154840,56523,0,2014-01-01 00:00:00,2,0,2014-01-01 00:00:00
520,W,154841,56524,0,2014-01-01 00:00:00,2,0,2014-01-01 00:00:00
521,W,154842,56525,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
522,W,154843,56526,0,2014-01-01 00:00:00,6,0,2014-01-01 00:00:00
736,W,154844,56527,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
737,W,154845,56528,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
738,W,154846,56529,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
739,W,154847,56530,0,2014-01-01 00:00:00,2,0,2014-01-01 00:00:00
743,W,154848,56531,0,2014-01-01 00:00:00,2,0,2014-01-01 00:00:00
746,W,154849,56532,0,2014-01-01 00:00:00,2,0,2014-01-01 00:00:00
747,W,154850,56533,0,2014-01-01 00:00:00,2,0,2014-01-01 00:00:00
805,W,154851,56534,0,2014-01-01 00:00:00,5,0,2014-01-01 00:00:00
806,W,154852,56535,0,2014-01-01 00:00:00,12,0,2014-01-01 00:00:00
807,W,154853,56536,0,2014-01-01 00:00:00,6,0,2014-01-01 00:00:00
808,W,154854,56537,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
810,W,154855,56538,0,2014-01-01 00:00:00,8,0,2014-01-01 00:00:00
811,W,154856,56539,0,2014-01-01 00:00:00,3,0,2014-01-01 00:00:00
812,W,154857,56540,0,2014-01-01 00:00:00,2,0,2014-01-01 00:00:00
815,W,154858,56541,0,2014-01-01 00:00:00,1,0,2014-01-01 00:00:00
816,W,154859,56542,0,2014-01-01 00:00:00,8,0,2014-01-01 00:00:00
818,W,154860,56543,0,2014-01-01 00:00:00,3,0,2014-01-01 00:00:00
819,W,154861,56544,0,2014-01-01 00:00:00,2,0,2014-01-01 00:00:00
