ProductID,TransactionType,TransactionID,ReferenceOrderID,ReferenceOrderLineID,TransactionDate,Quantity,ActualCost,ModifiedDate
784,W,100000,41590,0,2013-07-31 00:00:00,2,0,2013-07-31 00:00:00
794,W,100001,41591,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
797,W,100002,41592,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
798,W,100003,41593,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
799,W,100004,41594,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
800,W,100005,41595,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
801,W,100006,41596,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
954,W,100007,41597,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
955,W,100008,41598,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
966,W,100009,41599,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
968,W,100010,41600,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
972,W,100011,41601,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
973,W,100012,41602,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
974,W,100013,41603,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
977,W,100014,41604,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
981,W,100015,41605,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
989,W,100016,41606,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
991,W,100017,41607,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
998,W,100018,41608,0,2013-07-31 00:00:00,3,0,2013-07-31 00:00:00
514,W,100019,41609,0,2013-07-31 00:00:00,3,0,2013-07-31 00:00:00
516,W,100020,41610,0,2013-07-31 00:00:00,2,0,2013-07-31 00:00:00
517,W,100021,41611,0,2013-07-31 00:00:00,4,0,2013-07-31 00:00:00
518,W,100022,41612,0,2013-07-31 00:00:00,7,0,2013-07-31 00:00:00
519,W,100023,41613,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
521,W,100024,41614,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
522,W,100025,41615,0,2013-07-31 00:00:00,4,0,2013-07-31 00:00:00
722,W,100026,41616,0,2013-07-31 00:00:00,1,0,2013-07-31 00:00:00
737,W,100027,41617,0,2013-07-31 00:00:00,3,0,2013-07-31 00:00:00
746,W,100028,41618,0,2013-07-31 00:00:00,2,0,2013-07-31 00:00:00
805,W,100029,41619,0,2013-07-31 00:00:00,6,0,2013-07-31 00:00:00
806,W,100030,41620,0,2013-07-31 00:00:00,12,0,2013-07-31 00:00:00
807,W,100031,41621,0,2013-07-31 00:00:00,4,0,2013-07-31 00:00:00
808,W,100032,41622,0,2013-07-31 00:00:00,3,0,2013-07-31 00:00:00
810,W,100033,41623,0,2013-07-31 00:00:00,2,0,2013-07-31 00:00:00
811,W,100034,41624,0,2013-07-31 00:00:00,4,0,2013-07-31 00:00:00
